actual,pred,probability_0,probability_1,probability_2,probability_3,probability_4,probability_5
1,1,0.056873,0.747971,0.093626,0.020830,0.043757,0.036944
5,5,0.074418,0.049176,0.242845,0.189621,0.015061,0.428879
0,3,0.290068,0.215932,0.015823,0.402380,0.055981,0.019817
5,5,0.062718,0.020266,0.299962,0.189321,0.071814,0.355919
0,0,0.648194,0.074100,0.140242,0.109757,0.012890,0.014818
1,3,0.036617,0.146289,0.000103,0.800433,0.015452,0.001106
5,1,0.003137,0.468742,0.040096,0.096513,0.060991,0.330521
4,4,0.146449,0.098941,0.054404,0.170116,0.380528,0.149562
5,5,0.027637,0.006520,0.179646,0.068326,0.085886,0.631985
0,5,0.068362,0.018678,0.098493,0.074998,0.199012,0.540457
5,5,0.003218,0.236959,0.091257,0.044194,0.032747,0.591625
1,1,0.005878,0.450791,0.003809,0.417360,0.041935,0.080227
5,5,0.067954,0.014333,0.093012,0.078617,0.135029,0.611055
1,5,0.189889,0.142802,0.051406,0.182639,0.216151,0.217112
5,5,0.029578,0.017087,0.082666,0.178528,0.130339,0.561803
3,3,0.033421,0.128424,0.038013,0.379561,0.078224,0.342357
4,3,0.012765,0.029357,0.129991,0.363423,0.227191,0.237273
2,2,0.025459,0.064750,0.851785,0.009414,0.025795,0.022797
5,3,0.028514,0.048631,0.000521,0.911684,0.003973,0.006676
0,0,0.774100,0.018403,0.156166,0.024589,0.000323,0.026420
3,3,0.075250,0.074344,0.004725,0.798080,0.020229,0.027372
3,3,0.012748,0.055880,0.011116,0.826309,0.029949,0.063998
5,5,0.001284,0.217472,0.035353,0.061769,0.199149,0.484972
0,3,0.029991,0.094970,0.001274,0.854157,0.010940,0.008667
3,5,0.056713,0.017697,0.120221,0.119052,0.177313,0.509005
0,3,0.056777,0.143384,0.003226,0.681377,0.081063,0.034172
5,5,0.020405,0.019140,0.187127,0.115923,0.112746,0.544659
1,1,0.008621,0.425975,0.034356,0.340553,0.105163,0.085331
5,5,0.156460,0.131275,0.154817,0.122009,0.193674,0.241764
1,1,0.058714,0.643689,0.001335,0.214063,0.045602,0.036596
4,2,0.164233,0.170917,0.357055,0.070587,0.161687,0.075520
5,3,0.030072,0.101563,0.000168,0.856431,0.007204,0.004561
5,4,0.256504,0.078194,0.066391,0.116548,0.257486,0.224876
5,5,0.226947,0.055301,0.045498,0.103163,0.220799,0.348292
0,5,0.248949,0.062191,0.069280,0.127573,0.163301,0.328706
1,1,0.099717,0.673674,0.025465,0.055919,0.087198,0.058026
3,3,0.109570,0.090273,0.009681,0.691313,0.035332,0.063831
3,5,0.002328,0.196900,0.029885,0.080775,0.174562,0.515551
2,5,0.083386,0.046214,0.147667,0.079807,0.238421,0.404505
5,5,0.027170,0.009559,0.178867,0.100854,0.081131,0.602418
0,0,0.617847,0.149596,0.095376,0.101505,0.018612,0.017063
0,3,0.274439,0.283604,0.016996,0.333600,0.059265,0.032096
0,0,0.899393,0.002407,0.089003,0.004733,0.000260,0.004204
1,0,0.263524,0.198225,0.067634,0.198098,0.159190,0.113329
1,5,0.076921,0.174298,0.073848,0.263779,0.068535,0.342619
1,3,0.052476,0.164521,0.000791,0.749759,0.027147,0.005305
2,0,0.552090,0.152515,0.029905,0.220138,0.023192,0.022160
1,4,0.166815,0.160943,0.144468,0.155439,0.201538,0.170797
3,3,0.016755,0.055879,0.065870,0.702825,0.063804,0.094868
3,3,0.022212,0.235017,0.035876,0.438089,0.071188,0.197618
1,1,0.013883,0.561192,0.270649,0.015225,0.033841,0.105210
1,1,0.039176,0.506059,0.001674,0.374518,0.021245,0.057329
4,3,0.057998,0.099926,0.027862,0.497742,0.215168,0.101304
3,2,0.065640,0.008178,0.388532,0.226577,0.012353,0.298720
5,1,0.002299,0.805684,0.013653,0.008601,0.002004,0.167758
1,3,0.005837,0.373448,0.005646,0.431090,0.030617,0.153361
3,3,0.132183,0.129821,0.020410,0.533780,0.093036,0.090770
5,5,0.005017,0.118243,0.089067,0.062464,0.020927,0.704282
5,5,0.077333,0.026697,0.316643,0.165904,0.018831,0.394593
4,4,0.017281,0.202912,0.239822,0.100128,0.351131,0.088725
1,1,0.104889,0.631120,0.016108,0.069590,0.098447,0.079846
1,1,0.071795,0.622500,0.011330,0.129902,0.050669,0.113803
5,4,0.179719,0.106659,0.165812,0.123124,0.225559,0.199127
5,1,0.140339,0.298042,0.030616,0.174158,0.228254,0.128591
0,5,0.257494,0.060100,0.089577,0.091268,0.226401,0.275161
1,0,0.385846,0.215557,0.016008,0.294916,0.054704,0.032969
0,0,0.301887,0.078679,0.169847,0.171699,0.066311,0.211577
1,3,0.257662,0.081653,0.163205,0.286956,0.009758,0.200766
4,3,0.004595,0.250290,0.004596,0.649534,0.058549,0.032435
1,4,0.092699,0.235164,0.187289,0.110654,0.267570,0.106623
5,5,0.050590,0.020373,0.115397,0.061694,0.251462,0.500484
5,5,0.068860,0.022025,0.261105,0.286720,0.015183,0.346106
4,5,0.005496,0.185490,0.036181,0.103948,0.223573,0.445312
1,5,0.199676,0.080566,0.057154,0.110279,0.232227,0.320098
1,3,0.119360,0.227146,0.019025,0.396145,0.139202,0.099123
2,1,0.039432,0.434939,0.341689,0.074015,0.048960,0.060964
3,2,0.024974,0.024351,0.291923,0.239492,0.206565,0.212695
1,3,0.141998,0.295563,0.004575,0.471278,0.063126,0.023461
3,5,0.067706,0.031294,0.294361,0.287900,0.014608,0.304131
1,1,0.004696,0.400415,0.187373,0.090870,0.120701,0.195946
3,4,0.007105,0.083077,0.266649,0.022290,0.534298,0.086581
